question,status,answer,error
В каком году был создан РЦ «Альтаир»?,answered,Региональный центр «Альтаир» был создан в 2019 году.,
По модели какого образовательного центра создан «Альтаир»?,answered,«Альтаир» создан по модели Образовательного центра «Сириус».,
Структурным подразделением какой организации является РЦ «Альтаир»?,answered,Региональный центр «Альтаир» является структурным подразделением ГАУ ДО НСО «Областной центр развития творчества детей и юношества» (ОЦРТДиЮ).,
Какие три основных направления деятельности выделяет центр?,answered,В предоставленном контексте информация о трех основных направлениях деятельности центра отсутствует. Упомянуты только направление «Искусство» и раздел для педагогов и наставников.,
Для кого ориентированы программы центра (категория участников)?,answered,"Программы РЦ «Альтаир» ориентированы на учащихся 5–11 классов Новосибирска и Новосибирской области. Также существуют исключения, например, конкурс «ПРО Большие вызовы» открыт для 1–7 классов. Кроме того, центр проводит мероприятия для педагогов и наставников.",
Из какого региона преимущественно участвуют школьники в программах?,answered,Программы ориентированы на учащихся Новосибирска и Новосибирской области.,
Являются ли программы РЦ «Альтаир» платными или бесплатными?,answered,Программы РЦ «Альтаир» бесплатны.,
Где можно найти анонсы набора и списки участников?,answered,Анонсы набора и списки участников публикуются в разделе «Новости» по адресу: https://altairdonso.ru/novosti/ .,
Где можно посмотреть календарь ближайших событий?,answered,Посмотреть календарь ближайших событий можно по ссылке: https://altairdonso.ru/kalendar/ .,
Какая страница сайта содержит общую информацию о порядке участия?,answered,Общая страница о порядке участия находится по адресу: https://altairdonso.ru/kak-popast/ .,
Как называется площадка «Альтаира» в Академпарке Новосибирского Академгородка?,answered,Площадка «Альтаира» в Академпарке Новосибирского Академгородка называется Парк науки и технологий.,
Какой точный адрес у Парка науки и технологий?,answered,"Адрес Парка науки и технологий: г. Новосибирск, ул. Николаева, 12.",
Как называется площадка «Альтаира» в Бердске?,answered,Площадка «Альтаира» в Бердске называется Образовательный парк имени О. Кошевого.,
Что проводится в Образовательном парке имени О. Кошевого?,answered,В Образовательном парке имени О. Кошевого проводятся длительные профильные смены с проживанием.,
Нужно ли проверять место проведения конкретного события в анонсе?,answered,"Да, место конкретного события всегда нужно проверять в его анонсе, так как оно может отличаться.",
Какой почтовый адрес указан в подвале официального сайта?,answered,"Почтовый адрес, указанный в подвале официального сайта: 630090, г. Новосибирск, ул. Николаева, 12, 4 этаж.",
"На каком этаже находится офис по адресу ул. Николаева, 12?",answered,"Офис по адресу ул. Николаева, 12 находится на 4 этаже.",
Какой общий телефон центра указан в контактах?,answered,Общий телефон центра: +7 (383) 349-12-40.,
Какая общая электронная почта указана для связи с центром?,answered,Общая электронная почта центра: altair-nso@yandex.ru.,
В какие дни и часы работает центр согласно сайту?нты,answered,"Согласно сайту, центр работает с понедельника по пятницу с 9:00 до 18:00.",
Какой первый шаг рекомендуется сделать для подачи заявки?,answered,Первым шагом рекомендуется открыть сайт или официальные соцсети.,
Что нужно изучить после открытия сайта или соцсетей?,no_answer,"В базе знаний нет информации, достаточной для ответа на этот вопрос.",
Куда нужно перейти после выбора программы?,answered,"После выбора программы или мероприятия нужно перейти к форме заявки, которая указана в соответствующем анонсе.",
Какой документ обязательно требуется приложить для участия в программе?,answered,Для участия в программе необходимо приложить согласие на обработку персональных данных.,
Где размещается актуальный чистый бланк согласия на обработку персональных данных?,answered,Актуальный чистый бланк согласия на обработку персональных данных размещается в новости о конкретной программе.,
Можно ли отправлять персональные данные в чат помощника?,answered,"Нет, персональные данные в чат помощника отправлять нельзя: заполняйте только форму, указанную организатором.",
Кто должен оформлять документы для детей младше 14 лет?,answered,Документы для детей младше 14 лет оформляет законный представитель.,
Где регистрируются участники старше 14 лет для доступа к программам?,answered,Участники старше 14 лет могут зарегистрироваться самостоятельно в «Навигаторе дополнительного образования Новосибирской области» по адресу: https://navigator.edu54.ru/.,
Как регистрируются участники младше 14 лет в Навигаторе дополнительного образования?,answered,Участники младше 14 лет могут зарегистрироваться в «Навигаторе дополнительного образования Новосибирской области» через родителя или законного представителя.,
Следует ли путать Личный кабинет Навигатора с личным кабинетом «Альтаира»?,answered,"Нет, личный кабинет Навигатора не следует путать с отдельным личным кабинетом «Альтаира».",
Гарантирует ли факт подачи заявки зачисление на программу?,answered,"Нет, сам факт подачи заявки не гарантирует зачисление.",
Существуют ли единые для всех программ вступительные задания?,answered,"Нет, единых для всех программ вступительных заданий и сроков нет. В зависимости от курса могут потребоваться разные материалы: мотивационное письмо, портфолио, дистанционное задание, олимпиадный результат, видеозапись, творческая работа или очное собеседование.",
Какие виды заданий могут попросить предоставить при отборе?,answered,"При отборе в зависимости от курса могут попросить предоставить следующие виды заданий:
* мотивационное письмо;
* портфолио;
* дистанционное задание;
* олимпиадный результат;
* видеозапись;
* творческую работу;
* очное собеседование.",
Где указаны точные требования к отбору для конкретной программы?,answered,Точные требования к отбору указаны в регистрационной форме и новости конкретной программы.,
Для каких классов открыт конкурс «ПРО Большие вызовы»?,answered,Конкурс «ПРО Большие вызовы» открыт для учащихся 1–7 классов.,
От чего зависит зачисление на программу помимо подачи заявки?,answered,Зачисление на программу зависит от результатов отбора и количества доступных мест.,
К кому предпочтительно обращаться с вопросом о конкретной программе?,answered,"В базе знаний нет общей информации о том, к кому предпочтительно обращаться по всем программам. Однако для программы «Искусственный интеллект и компьютерное зрение» указан методист Елизавета Сергеевна Моисеенко: +7 (929) 480-80-60, mes@donso.su.",
"Что делать, если контакт методиста не найден в новости?",answered,"Если контакт методиста не найден, можно написать на altair-nso@yandex.ru или позвонить по телефону +7 (383) 349-12-40.",
Дает ли сайт универсальную инструкцию по редактированию отправленной заявки?,answered,"Нет, публичные страницы сайта не дают универсальной инструкции по редактированию отправленной заявки, так как порядок зависит от формы и программы.",
Дает ли сайт универсальную инструкцию по восстановлению пароля?,answered,"Нет, публичные страницы сайта не дают универсальной инструкции по восстановлению пароля.",
На какую деятельность направлены программы направления «Наука»?,answered,"Программы направления «Наука» направлены на исследовательскую и проектную деятельность, а также углублённое изучение математики, физики, химии, биологии, астрономии и инженерных тем.",
Какие предметы углубленно изучаются в направлении «Наука»?,answered,"В направлении «Наука» углублённо изучаются биология, химия, физика, математика, астрономия и инженерные темы.",
Что включает в себя проектная школа по биологии?,no_answer,"В базе знаний нет информации, достаточной для ответа на этот вопрос.",
Что такое «Мобильный Альтаир»?,answered,"«Мобильный Альтаир» проводит выездные сессии в муниципалитетах Новосибирской области. Эти сессии включают:
* занятия по математике и естественным наукам для учащихся 5–11 классов;
* методические встречи для учителей;
* управленческий трек;
* встречи с родителями.",
Для кого проводятся выездные сессии «Мобильного Альтаира»?,answered,"Выездные сессии «Мобильного Альтаира» проводятся для следующих категорий:
* учащихся 5–11 классов (занятия по математике и естественным наукам);
* учителей (методические встречи);
* родителей (встречи);
* участников управленческого трека.",
